what,kind,bundleId,bundleVersion,description,time
started,bundle,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.adt",1311427005894
started,bundle,com.android.ide.eclipse.ddms,12.0.0.v201106281929-138431,"com.android.ide.eclipse.ddms",1311427005894
started,bundle,com.android.ide.eclipse.traceview,12.0.0.v201106281929-138431,"com.android.ide.eclipse.traceview",1311427005895
os,sysinfo,,,"macosx",1311427005912
arch,sysinfo,,,"x86_64",1311427005912
ws,sysinfo,,,"cocoa",1311427005912
locale,sysinfo,,,"en_US",1311427005912
processors,sysinfo,,,"2",1311427005912
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1311427005912
java.runtime.version,sysinfo,,,"1.6.0_24-b07-334-10M3326",1311427005912
java.specification.name,sysinfo,,,"Java Platform API Specification",1311427005912
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1311427005912
java.specification.version,sysinfo,,,"1.6",1311427005912
java.vendor,sysinfo,,,"Apple Inc.",1311427005912
java.version,sysinfo,,,"1.6.0_24",1311427005912
java.vm.info,sysinfo,,,"mixed mode",1311427005912
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1311427005912
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1311427005912
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1311427005912
java.vm.specification.version,sysinfo,,,"1.0",1311427005912
java.vm.vendor,sysinfo,,,"Apple Inc.",1311427005912
java.vm.version,sysinfo,,,"19.1-b02-334",1311427005912
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311427005931
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311427006094
started,bundle,org.eclipse.jdt.junit.core,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.core",1311427006133
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20100503,"org.eclipse.equinox.simpleconfigurator.manipulator",1311427006135
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20100503,"org.eclipse.equinox.frameworkadmin",1311427006155
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1311427006623
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1311427006715
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1311427006719
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1311427034258
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1311427034398
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1311427034432
started,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1311427034470
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1311427034657
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1311427034660
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1311427034744
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1311427034772
opened,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1311427035703
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1311427035714
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1311427035812
activated,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1311427036183
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311427036675
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1311427045174
closed,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1311427045174
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1311427061392
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311427070454
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1311427070984
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1311427071071
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311427071123
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311427071701
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311427071954
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311427072514
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311427072812
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.open.editor",1311427072834
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1311427073019
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311427085835
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311427439675
