what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311422549777
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311422554387
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1311422554436
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1311422554436
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311422554536
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311422560488
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311422563269
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311422569512
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311422597315
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311422598867
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311422613935
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311422617567
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311422680237
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311422684067
error,log,,,"Failed to load properties file for project 'AndroidHelloWorld'",1311422693189
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311422693371
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1311422693481
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311422714732
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311422714811
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1311422716401
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311422719803
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1311422745050
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1311422755173
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1311422759246
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311422792495
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311422794177
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1311422797079
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1311422797080
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1311422797778
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1311422819463
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1311422891237
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311422896573
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311422919109
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1311422933813
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1311422935508
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1311422954298
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311422955392
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311423001964
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311423008252
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311423011700
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1311423011874
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311423012089
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311423268594
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1311423270280
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311423280681
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311423518364
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311423519283
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311423563163
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311423564440
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311423565357
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311423567071
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311423576365
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311423682319
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311423682752
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311423846113
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311423883910
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311424082916
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1311424084834
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311424087631
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.toggleBreadcrumb",1311424093468
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.toggleBreadcrumb",1311424095447
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311424100631
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311424138445
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1311424148817
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PropertiesFileEditor",1311424150096
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PropertiesFileEditor",1311424150161
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1311424152647
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1311424153173
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1311424153504
started,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1311424153596
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1311424153955
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1311424153962
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1311424154120
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1311424154182
opened,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1311424155014
activated,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1311424155065
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1311424155415
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1311424155746
